Project_ID,Project_Name,Region,Project_Type,Phase,Status,Department,Contractor,Start_Date,End_Date,Month_Name,Month_Number,Budget,Cost,Safety_Incidents,Issue_Resolution_Time_Days
P0001,Project_1,North,Residential,Finishing,In Progress,Engineering,SafeBuild,2025-03-13,2025-11-16,March,3,414947,450982,8,2
P0002,Project_2,West,Residential,Design,Completed,Engineering,SafeBuild,2025-09-16,2026-04-18,September,9,255649,267520,8,7
P0003,Project_3,South,Commercial,Finishing,In Progress,Engineering,UrbanCon,2025-12-24,2026-06-10,December,12,913557,865371,3,13
P0004,Project_4,East,Residential,Design,In Progress,Engineering,PrimeBuild,2025-06-26,2026-01-26,June,6,754740,854739,7,9
P0005,Project_5,North,Commercial,Design,Pending,Safety,NextGen Infra,2025-07-05,2026-01-28,July,7,603258,661532,0,11
P0006,Project_6,South,Commercial,Design,Completed,Engineering,Skyline Co,2025-05-23,2025-11-15,May,5,1533126,1750735,2,6
P0007,Project_7,East,Residential,Finishing,In Progress,Procurement,BuildCorp,2025-11-08,2026-06-18,November,11,558903,579553,3,3
P0008,Project_8,West,Commercial,Construction,Pending,Procurement,BlueRock,2025-04-23,2025-12-14,April,4,880070,1007678,0,4
P0009,Project_9,North,Commercial,Construction,In Progress,Engineering,SafeBuild,2025-10-18,2026-07-29,October,10,1705575,1637586,7,7
P0010,Project_10,West,Residential,Construction,Completed,Engineering,BlueRock,2025-10-03,2026-02-07,October,10,1766601,1863066,6,6
P0011,Project_11,South,Residential,Finishing,In Progress,Engineering,ABC Ltd,2025-02-26,2025-06-05,February,2,1515849,1373349,6,10
P0012,Project_12,North,Commercial,Construction,Pending,Safety,BlueRock,2025-05-09,2025-11-26,May,5,224077,243818,1,11
P0013,Project_13,East,Industrial,Construction,Completed,Safety,Skyline Co,2025-03-22,2025-09-14,March,3,206805,244823,4,9
P0014,Project_14,South,Industrial,Design,Pending,Safety,BlueRock,2025-11-08,2026-02-26,November,11,520527,510569,2,9
P0015,Project_15,North,Industrial,Construction,In Progress,Engineering,BuildCorp,2025-07-05,2026-04-15,July,7,1944129,2201475,3,1
P0016,Project_16,South,Industrial,Design,Completed,Procurement,Titan Builders,2025-02-05,2025-10-17,February,2,1317165,1472645,2,11
P0017,Project_17,West,Industrial,Design,In Progress,Procurement,NextGen Infra,2025-08-05,2025-11-27,August,8,1330985,1483173,3,12
P0018,Project_18,East,Commercial,Finishing,Pending,Safety,Titan Builders,2025-09-22,2026-03-16,September,9,453764,425071,1,6
P0019,Project_19,North,Industrial,Finishing,Completed,Procurement,SafeBuild,2025-01-04,2025-03-23,January,1,1684450,1803853,3,2
P0020,Project_20,North,Commercial,Design,Pending,Engineering,MegaConstruct,2025-12-09,2026-06-11,December,12,649287,674435,7,4
P0021,Project_21,West,Commercial,Design,Completed,Engineering,Skyline Co,2025-07-01,2025-12-16,July,7,1062143,1076437,0,11
P0022,Project_22,North,Residential,Construction,Pending,Safety,BuildCorp,2025-05-08,2025-08-25,May,5,598896,621474,2,7
P0023,Project_23,South,Commercial,Construction,Completed,Engineering,Titan Builders,2025-10-09,2026-01-02,October,10,306091,330042,8,14
P0024,Project_24,North,Residential,Design,Completed,Safety,Titan Builders,2025-09-04,2025-12-27,September,9,1041042,1213704,2,7
P0025,Project_25,North,Commercial,Construction,In Progress,Safety,Skyline Co,2025-12-23,2026-08-27,December,12,1842828,1924868,7,3
P0026,Project_26,South,Commercial,Design,Completed,Procurement,BlueRock,2025-02-01,2025-10-10,February,2,857676,746184,7,9
P0027,Project_27,South,Residential,Finishing,Completed,Engineering,BuildCorp,2025-11-01,2026-01-17,November,11,1616023,1861071,6,2
P0028,Project_28,South,Industrial,Finishing,Completed,Procurement,BuildCorp,2025-08-03,2026-03-19,August,8,1424049,1492160,5,15
P0029,Project_29,East,Residential,Finishing,Pending,Safety,SafeBuild,2025-05-16,2025-10-24,May,5,474471,514844,4,8
P0030,Project_30,East,Residential,Design,In Progress,Procurement,NextGen Infra,2025-02-21,2025-05-10,February,2,1327501,1227412,4,3
P0031,Project_31,East,Residential,Design,In Progress,Safety,UrbanCon,2025-08-13,2026-05-13,August,8,1339210,1468094,8,1
P0032,Project_32,East,Industrial,Design,Completed,Safety,BuildCorp,2025-02-24,2025-11-01,February,2,1360194,1230168,4,10
P0033,Project_33,South,Industrial,Construction,Completed,Procurement,MegaConstruct,2025-09-16,2026-03-20,September,9,726639,847891,0,2
P0034,Project_34,West,Commercial,Design,Completed,Safety,UrbanCon,2025-11-23,2026-03-30,November,11,538861,597828,8,12
P0035,Project_35,West,Industrial,Design,Completed,Engineering,UrbanCon,2025-10-07,2025-12-15,October,10,1950272,1909756,8,3
P0036,Project_36,West,Residential,Design,In Progress,Safety,ABC Ltd,2025-07-03,2025-10-24,July,7,1630397,1528228,1,6
P0037,Project_37,West,Industrial,Finishing,Completed,Engineering,UrbanCon,2025-04-01,2026-01-11,April,4,1064644,914183,5,13
P0038,Project_38,West,Industrial,Finishing,Completed,Safety,UrbanCon,2025-12-26,2026-03-23,December,12,1002248,1157855,7,4
P0039,Project_39,South,Commercial,Construction,In Progress,Engineering,SafeBuild,2025-01-13,2025-08-29,January,1,605022,598646,4,14
P0040,Project_40,North,Commercial,Construction,Pending,Procurement,Skyline Co,2025-12-14,2026-09-15,December,12,1324525,1279361,0,2
